epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
9,740.583,0.81897,0.60334,1.20053,0.8977,0.89641,0.9498,0.75817,0.72581,0.95538,1.10072,0.009208,0.009208,0.009208
10,1479.87,0.81416,0.59469,1.1946,0.90216,0.89625,0.95171,0.76615,0.72073,0.94683,1.09745,0.009109,0.009109,0.009109
11,2218.33,0.7995,0.5863,1.18405,0.90704,0.89896,0.95132,0.76719,0.70961,1.10891,1.0861,0.00901,0.00901,0.00901
12,2959.13,0.78458,0.57054,1.17124,0.90608,0.89778,0.95186,0.76405,0.70377,0.99729,1.10498,0.008911,0.008911,0.008911
13,3697.98,0.78132,0.56865,1.17385,0.90765,0.90246,0.95233,0.77149,0.70703,1.16514,1.09671,0.008812,0.008812,0.008812
14,4435.98,0.78841,0.56585,1.17726,0.89446,0.91506,0.95541,0.77582,0.69531,1.47357,1.08893,0.008713,0.008713,0.008713
15,5171.61,0.77909,0.55936,1.16917,0.90368,0.90891,0.95292,0.77782,0.6985,0.86123,1.09032,0.008614,0.008614,0.008614
16,5906.73,0.77703,0.55831,1.16764,0.90668,0.90473,0.95542,0.77978,0.69374,0.98326,1.08759,0.008515,0.008515,0.008515
17,6642.68,0.79615,0.57179,1.17967,0.90401,0.91961,0.95857,0.78118,0.69206,0.91169,1.08047,0.008416,0.008416,0.008416
18,7379.22,0.79074,0.56807,1.18145,0.9105,0.90911,0.95756,0.78318,0.68029,0.83956,1.08048,0.008317,0.008317,0.008317
19,8118.96,0.78381,0.56985,1.18291,0.91331,0.91346,0.95742,0.78322,0.68604,0.93931,1.09462,0.008218,0.008218,0.008218
20,8857.63,0.78836,0.56703,1.18744,0.90879,0.91026,0.95806,0.78668,0.67889,0.93423,1.0806,0.008119,0.008119,0.008119
21,9597.65,0.77917,0.55994,1.16932,0.90488,0.91916,0.95917,0.78875,0.66998,0.94568,1.06487,0.00802,0.00802,0.00802
22,10338.7,0.78026,0.5598,1.16647,0.91311,0.91076,0.95822,0.79091,0.66664,0.9059,1.07073,0.007921,0.007921,0.007921
23,11077.7,0.77197,0.55713,1.16827,0.9099,0.92071,0.96019,0.79313,0.66204,0.8692,1.06473,0.007822,0.007822,0.007822
24,11817.2,0.77158,0.54682,1.16096,0.9086,0.92016,0.96054,0.79444,0.65329,0.7519,1.05416,0.007723,0.007723,0.007723
25,12558,0.76622,0.54321,1.16649,0.91492,0.9142,0.96071,0.79946,0.65119,0.92899,1.06312,0.007624,0.007624,0.007624
26,13297.9,0.76796,0.54421,1.15529,0.9131,0.91583,0.96128,0.79808,0.6526,0.78932,1.04665,0.007525,0.007525,0.007525
27,14038.7,0.76187,0.53751,1.15302,0.90883,0.92022,0.96163,0.79986,0.65108,0.94761,1.05094,0.007426,0.007426,0.007426
28,14775.6,0.75845,0.53303,1.15132,0.91535,0.91579,0.96227,0.80224,0.64754,0.91616,1.04953,0.007327,0.007327,0.007327
29,799.198,0.73563,0.51256,1.14377,0.92033,0.9142,0.96247,0.80318,0.64602,0.76657,1.05678,0.007228,0.007228,0.007228
30,1603.11,0.741,0.51893,1.14742,0.9141,0.9217,0.96255,0.80507,0.64359,0.80345,1.05515,0.007129,0.007129,0.007129
31,2399.08,0.73205,0.51469,1.14165,0.91779,0.91944,0.96336,0.80542,0.64082,0.72215,1.05202,0.00703,0.00703,0.00703
32,3197.55,0.72285,0.50669,1.13438,0.91784,0.9169,0.96317,0.80491,0.64018,0.71814,1.05135,0.006931,0.006931,0.006931
33,3993.56,0.7211,0.50168,1.13278,0.91409,0.92345,0.96384,0.80627,0.63835,0.7232,1.04958,0.006832,0.006832,0.006832
34,4794.35,0.72285,0.50403,1.13943,0.91523,0.92256,0.9638,0.80716,0.635,0.597,1.04981,0.006733,0.006733,0.006733
35,5589.51,0.71831,0.49812,1.13501,0.9156,0.92538,0.96457,0.80949,0.63771,0.62649,1.05446,0.006634,0.006634,0.006634
36,6385.8,0.71294,0.493,1.12944,0.91715,0.92329,0.96386,0.81013,0.63304,0.62971,1.05039,0.006535,0.006535,0.006535
37,7182.36,0.71942,0.49743,1.1328,0.91556,0.92627,0.96402,0.8115,0.63159,0.68572,1.04753,0.006436,0.006436,0.006436
38,7979.05,0.71635,0.49364,1.12716,0.92262,0.91948,0.9651,0.81157,0.63107,0.66175,1.04643,0.006337,0.006337,0.006337
39,8772.31,0.70816,0.49448,1.12386,0.92325,0.91978,0.96469,0.8122,0.63017,0.64624,1.04532,0.006238,0.006238,0.006238
40,9553.85,0.71559,0.49509,1.12901,0.92008,0.92071,0.96401,0.81186,0.62953,0.63258,1.04454,0.006139,0.006139,0.006139
41,780.633,0.66997,0.44992,1.10057,0.92049,0.91998,0.96447,0.813,0.6264,0.62931,1.04265,0.00604,0.00604,0.00604
42,1570.74,0.67754,0.4609,1.1023,0.92019,0.91978,0.96452,0.81445,0.62512,0.63639,1.04287,0.005941,0.005941,0.005941
43,2351.42,0.67613,0.46096,1.10028,0.91999,0.92207,0.96481,0.81507,0.62502,0.65966,1.04394,0.005842,0.005842,0.005842
44,1197.08,0.61188,0.40285,1.06772,0.92109,0.92268,0.96487,0.81588,0.63609,0.70389,1.07011,0.005743,0.005743,0.005743
45,2473.69,0.64998,0.43509,1.07978,0.9191,0.92366,0.96485,0.81695,0.63486,0.70718,1.0668,0.005644,0.005644,0.005644
46,3607.03,0.65977,0.44602,1.08852,0.91947,0.92366,0.96457,0.81735,0.63389,0.69877,1.06422,0.005545,0.005545,0.005545
47,4747.96,0.66409,0.44668,1.08785,0.92547,0.91891,0.96458,0.81701,0.63258,0.69349,1.06194,0.005446,0.005446,0.005446
48,5921.92,0.66069,0.4457,1.08859,0.92525,0.91902,0.9649,0.818,0.63129,0.69262,1.0603,0.005347,0.005347,0.005347
49,1164.42,0.56684,0.3691,1.03981,0.92589,0.9184,0.96474,0.8182,0.63145,0.68787,1.06145,0.005248,0.005248,0.005248
50,2399.42,0.61525,0.40597,1.06765,0.92411,0.92108,0.96473,0.81823,0.63157,0.68855,1.06202,0.005149,0.005149,0.005149
51,3634.56,0.63563,0.42429,1.07659,0.92563,0.92034,0.96464,0.81856,0.63135,0.68929,1.06161,0.00505,0.00505,0.00505
52,4886.09,0.64525,0.43087,1.08338,0.92444,0.92192,0.96446,0.81805,0.63109,0.69902,1.06131,0.004951,0.004951,0.004951
53,6130.83,0.64775,0.43457,1.08251,0.92332,0.92256,0.96442,0.81772,0.63099,0.6997,1.06102,0.004852,0.004852,0.004852
54,781.199,0.53595,0.34626,1.02433,0.92246,0.92274,0.96463,0.81818,0.61807,0.57465,1.03745,0.004753,0.004753,0.004753
55,1563.04,0.59012,0.38369,1.05428,0.92133,0.92391,0.96463,0.81901,0.61757,0.57257,1.03767,0.004654,0.004654,0.004654
56,2350.71,0.6155,0.40632,1.07157,0.92292,0.92282,0.96451,0.819,0.61766,0.57391,1.03835,0.004555,0.004555,0.004555
57,3128.23,0.63102,0.41721,1.07607,0.9218,0.92366,0.96456,0.81872,0.61721,0.57362,1.0383,0.004456,0.004456,0.004456
58,3906.76,0.63552,0.4248,1.08316,0.9198,0.92621,0.96446,0.81862,0.61678,0.57057,1.03834,0.004357,0.004357,0.004357
59,4685.43,0.64314,0.43052,1.09397,0.92052,0.92477,0.96461,0.81905,0.61639,0.56869,1.03907,0.004258,0.004258,0.004258
60,5464.41,0.63819,0.42302,1.08216,0.91756,0.92784,0.9646,0.81925,0.6161,0.56623,1.03909,0.004159,0.004159,0.004159
61,6243.23,0.63587,0.42204,1.07901,0.9181,0.92736,0.96467,0.81911,0.61577,0.56196,1.0389,0.00406,0.00406,0.00406
62,7020.6,0.64427,0.4304,1.08379,0.91787,0.92736,0.96486,0.8194,0.61494,0.56169,1.03805,0.003961,0.003961,0.003961
63,7798.49,0.64562,0.43,1.08379,0.91711,0.9276,0.96483,0.81964,0.61421,0.56056,1.03731,0.003862,0.003862,0.003862
64,8576.21,0.6453,0.43292,1.08525,0.9173,0.92723,0.96473,0.81997,0.61365,0.55858,1.03674,0.003763,0.003763,0.003763
65,9353.05,0.65775,0.4385,1.09142,0.91655,0.92821,0.96491,0.82019,0.61336,0.55861,1.03617,0.003664,0.003664,0.003664
66,10129.6,0.65455,0.43528,1.08941,0.91665,0.92821,0.9651,0.82023,0.61267,0.56137,1.03552,0.003565,0.003565,0.003565
67,10905.2,0.65204,0.43665,1.08938,0.91871,0.92649,0.9648,0.82012,0.61227,0.56282,1.03508,0.003466,0.003466,0.003466
68,11680.8,0.64636,0.43449,1.09091,0.91821,0.92747,0.96511,0.82058,0.61189,0.56447,1.03496,0.003367,0.003367,0.003367
69,12457.4,0.64543,0.42877,1.08534,0.9179,0.92773,0.96517,0.82135,0.61135,0.56502,1.03454,0.003268,0.003268,0.003268
70,13235.2,0.63884,0.42304,1.07962,0.91705,0.92825,0.96519,0.82137,0.6105,0.56612,1.03384,0.003169,0.003169,0.003169
71,14011.8,0.63838,0.42324,1.07868,0.92278,0.92133,0.96524,0.8217,0.60969,0.56924,1.03303,0.00307,0.00307,0.00307
72,14790.2,0.63165,0.41613,1.07935,0.92282,0.92194,0.96534,0.82213,0.60934,0.56965,1.0327,0.002971,0.002971,0.002971
73,751.687,0.50552,0.31862,1.00585,0.92268,0.9217,0.96543,0.82247,0.60925,0.56537,1.03297,0.002872,0.002872,0.002872
